direccion,Barrio y/o Localidad,Provincia,Batch de geocoding
25 DE MAYO 4200,Cabildo,BUENOS AIRES,0
25 DE MAYO 4500,Cabildo,BUENOS AIRES,0
25 DE MAYO 4800,Cabildo,BUENOS AIRES,0
28 DE SETIEMBRE 0,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 300,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 600,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 900,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 1200,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 1500,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 1800,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 2100,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 2400,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 2700,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 3000,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 3300,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 3600,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 3900,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 4200,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 4500,Gral. Daniel Cerri,BUENOS AIRES,0
28 DE SETIEMBRE 4800,Gral. Daniel Cerri,BUENOS AIRES,0
3 DE FEBRERO 0,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 300,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 600,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 900,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 1200,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 1500,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 1800,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 2100,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 2400,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 2700,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 3000,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 3300,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 3600,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 3900,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 4200,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 4500,BAHIA BLANCA,BUENOS AIRES,0
3 DE FEBRERO 4800,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 0,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 300,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 600,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 900,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 1200,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 1500,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 1800,BAHIA BLANCA,BUENOS AIRES,0
9 DE JULIO 2100,BAHIA BLANCA,BUENOS AIRES,0
